Model,Architecture,Generation,Block,EtaC,LambdaC,BlockDriftNorm
SmolLM_CtrlA,sequential,1,19,0.00190625,1049.1803278688524,1.9773824214935303
SmolLM_CtrlA,sequential,1,20,0.0017812499999999998,1122.8070175438597,1.9852614402770996
SmolLM_CtrlA,sequential,1,21,0.0034375000000000005,581.8181818181818,1.9329438209533691
SmolLM_CtrlA,sequential,1,22,0.01125,177.77777777777777,1.8836781978607178
SmolLM_CtrlA,sequential,1,23,0.0016562500000000002,1207.5471698113206,1.8041638135910034
SmolLM_CtrlA,sequential,1,24,0.00184375,1084.7457627118645,1.8138325214385986
SmolLM_CtrlA,sequential,1,25,0.0006093750000000001,3282.0512820512813,1.802162766456604
SmolLM_CtrlA,sequential,1,26,0.00016015624999999998,12487.804878048782,1.8780878782272339
SmolLM_CtrlA,sequential,1,27,0.0016562500000000002,1207.5471698113206,1.9130076169967651
SmolLM_CtrlA,sequential,1,28,4.39453125e-05,45511.11111111111,1.8496471643447876
SmolLM_CtrlA,sequential,1,29,0.0008593750000000001,2327.272727272727,1.7294319868087769
SmolLM_CtrlA,sequential,2,0,5.9814453125e-06,334367.3469387755,0.45228317379951477
SmolLM_CtrlA,sequential,2,1,8.056640625e-06,248242.42424242423,0.40336695313453674
SmolLM_CtrlA,sequential,2,2,3.22265625e-05,62060.60606060606,0.3909248411655426
SmolLM_CtrlA,sequential,2,3,0.00153125,1306.1224489795918,0.3749426305294037
SmolLM_CtrlA,sequential,2,4,0.00041406250000000004,4830.188679245282,0.3801001310348511
SmolLM_CtrlA,sequential,2,5,0.00153125,1306.1224489795918,0.4447590708732605
SmolLM_CtrlA,sequential,2,6,1.2939453125000001e-05,154566.03773584904,0.454928994178772
SmolLM_CtrlA,sequential,2,7,8.007812499999999e-05,24975.609756097565,0.5095731616020203
SmolLM_CtrlA,sequential,2,8,0.0002734375,7314.285714285714,0.5408046841621399
SmolLM_CtrlA,sequential,2,9,0.0006406249999999999,3121.9512195121956,0.544097363948822
SmolLM_CtrlA,sequential,2,10,2.7832031249999998e-05,71859.64912280702,0.6329489946365356
SmolLM_CtrlA,sequential,2,11,29.183999999999997,0.06853070175438597,0.702745795249939
SmolLM_CtrlA,sequential,2,12,0.0016562500000000002,1207.5471698113206,0.7122129201889038
SmolLM_CtrlA,sequential,2,13,0.00011132812499999999,17964.912280701756,0.7086501717567444
SmolLM_CtrlA,sequential,2,14,0.0036875,542.3728813559322,0.7152668237686157
SmolLM_CtrlA,sequential,2,15,0.00013671875,14628.571428571428,0.7227245569229126
SmolLM_CtrlA,sequential,2,16,0.000546875,3657.142857142857,0.7090892195701599
SmolLM_CtrlA,sequential,2,17,0.0008281250000000001,2415.094339622641,0.724338173866272
SmolLM_CtrlA,sequential,2,18,0.00146875,1361.7021276595744,0.7411361336708069
SmolLM_CtrlA,sequential,2,19,0.000546875,3657.142857142857,0.7310407757759094
SmolLM_CtrlA,sequential,2,20,0.0004609375,4338.983050847458,0.7595148682594299
SmolLM_CtrlA,sequential,2,21,0.006625000000000001,301.88679245283015,0.7289943099021912
SmolLM_CtrlA,sequential,2,22,0.00196875,1015.8730158730159,0.7283374071121216
SmolLM_CtrlA,sequential,2,23,0.0012812499999999998,1560.9756097560978,0.7252036929130554
SmolLM_CtrlA,sequential,2,24,0.00030468750000000005,6564.102564102563,0.7269627451896667
SmolLM_CtrlA,sequential,2,25,2.7832031249999998e-05,71859.64912280702,0.7001413702964783
SmolLM_CtrlA,sequential,2,26,0.0012812499999999998,1560.9756097560978,0.7322691679000854
SmolLM_CtrlA,sequential,2,27,0.00134375,1488.372093023256,0.7376543879508972
SmolLM_CtrlA,sequential,2,28,92.16,0.021701388888888888,0.7311953902244568
SmolLM_CtrlA,sequential,2,29,0.00196875,1015.8730158730159,0.6883359551429749
SmolLM_CtrlA,sequential,3,0,8.056640625e-06,248242.42424242423,0.4339064359664917
SmolLM_CtrlA,sequential,3,1,3.22265625e-05,62060.60606060606,0.39839595556259155
SmolLM_CtrlA,sequential,3,2,3.3569335937500004e-06,595781.8181818181,0.3955875039100647
SmolLM_CtrlA,sequential,3,3,0.000515625,3878.7878787878785,0.38679447770118713
SmolLM_CtrlA,sequential,3,4,0.0002578125,7757.575757575757,0.39401522278785706
SmolLM_CtrlA,sequential,3,5,0.00030468750000000005,6564.102564102563,0.461068332195282
SmolLM_CtrlA,sequential,3,6,6.713867187500001e-06,297890.90909090906,0.4728188216686249
SmolLM_CtrlA,sequential,3,7,0.0021875,914.2857142857142,0.5228863954544067
SmolLM_CtrlA,sequential,3,8,4.0283203125e-06,496484.84848484845,0.5627123117446899
SmolLM_CtrlA,sequential,3,9,6.469726562500001e-06,309132.0754716981,0.5669726729393005
SmolLM_CtrlA,sequential,3,10,0.00014453125000000002,13837.837837837837,0.6544189453125
SmolLM_CtrlA,sequential,3,11,0.00039843750000000003,5019.607843137254,0.7152569890022278
SmolLM_CtrlA,sequential,3,12,0.00015234375000000003,13128.205128205125,0.7309244871139526
SmolLM_CtrlA,sequential,3,13,0.0012812499999999998,1560.9756097560978,0.7267912030220032
SmolLM_CtrlA,sequential,3,14,0.000921875,2169.491525423729,0.7367502450942993
SmolLM_CtrlA,sequential,3,15,0.0012187500000000002,1641.0256410256407,0.7510218024253845
SmolLM_CtrlA,sequential,3,16,0.0003828125,5224.489795918367,0.7286128401756287
SmolLM_CtrlA,sequential,3,17,0.0025624999999999997,780.4878048780489,0.7460677027702332
SmolLM_CtrlA,sequential,3,18,1.0498046875e-05,190511.62790697676,0.7485775351524353
SmolLM_CtrlA,sequential,3,19,5.76171875e-05,34711.86440677966,0.7609642148017883
SmolLM_CtrlA,sequential,3,20,0.00190625,1049.1803278688524,0.7829985022544861
SmolLM_CtrlA,sequential,3,21,0.0030625,653.0612244897959,0.746161162853241
SmolLM_CtrlA,sequential,3,22,0.0002578125,7757.575757575757,0.7422557473182678
SmolLM_CtrlA,sequential,3,23,0.005375,372.093023255814,0.7434603571891785
SmolLM_CtrlA,sequential,3,24,0.0029375,680.8510638297872,0.7334503531455994
SmolLM_CtrlA,sequential,3,25,0.0008593750000000001,2327.272727272727,0.712055504322052
SmolLM_CtrlA,sequential,3,26,1.2939453125000001e-05,154566.03773584904,0.7448060512542725
SmolLM_CtrlA,sequential,3,27,0.0002578125,7757.575757575757,0.7451932430267334
SmolLM_CtrlA,sequential,3,28,0.0006406249999999999,3121.9512195121956,0.7385842800140381
SmolLM_CtrlA,sequential,3,29,0.0017812499999999998,1122.8070175438597,0.6942263245582581
SmolLM_CtrlA,sequential,4,0,7.2021484375e-06,277694.9152542373,0.4345030188560486
SmolLM_CtrlA,sequential,4,1,6.958007812499999e-06,287438.5964912281,0.39796867966651917
SmolLM_CtrlA,sequential,4,2,4.0039062499999995e-05,49951.21951219513,0.39491352438926697
SmolLM_CtrlA,sequential,4,3,0.000671875,2976.744186046512,0.39553219079971313
SmolLM_CtrlA,sequential,4,4,0.0002734375,7314.285714285714,0.39692482352256775
SmolLM_CtrlA,sequential,4,5,0.00153125,1306.1224489795918,0.46751245856285095
SmolLM_CtrlA,sequential,4,6,1.0986328125e-05,182044.44444444444,0.4705411493778229
SmolLM_CtrlA,sequential,4,7,0.0003828125,5224.489795918367,0.5193158388137817
SmolLM_CtrlA,sequential,4,8,2.7832031249999998e-05,71859.64912280702,0.561442494392395
SmolLM_CtrlA,sequential,4,9,1.4404296875e-05,138847.45762711865,0.5847210884094238
SmolLM_CtrlA,sequential,4,10,0.00039843750000000003,5019.607843137254,0.6545822024345398
SmolLM_CtrlA,sequential,4,11,35.84,0.055803571428571425,0.6725082993507385
SmolLM_CtrlA,sequential,4,12,0.006625000000000001,301.88679245283015,0.7232813835144043
SmolLM_CtrlA,sequential,4,13,0.007625,262.2950819672131,0.7195029258728027
SmolLM_CtrlA,sequential,4,14,0.006125,326.53061224489795,0.7259043455123901
SmolLM_CtrlA,sequential,4,15,0.00190625,1049.1803278688524,0.7299318313598633
SmolLM_CtrlA,sequential,4,16,0.0030625,653.0612244897959,0.7158827781677246
