Model,Gen,Block,Attn_Norm,MLP_Norm,Total_Norm
SmolLM_Trt,5,5,176.76607111231604,304.5237765245105,481.2898476368265
SmolLM_Trt,5,6,179.0973910705604,308.6909166646307,487.7883077351911
SmolLM_Trt,5,7,170.17979061220078,309.35342096459834,479.5332115767991
SmolLM_Trt,5,8,170.07665723413515,311.0996813221608,481.17633855629595
SmolLM_Trt,5,9,174.9612108239102,314.15058777101626,489.1117985949264
SmolLM_Trt,5,10,181.49483732757386,314.67777107602467,496.17260840359853
SmolLM_Trt,5,11,182.96833502301362,313.71529937588315,496.68363439889674
SmolLM_Trt,5,12,179.5834433759572,312.152081324152,491.7355247001092
SmolLM_Trt,5,13,184.5066452690458,308.9686441159928,493.4752893850386
SmolLM_Trt,5,14,173.62258142663933,308.84086466576923,482.46344609240856
SmolLM_Trt,5,15,173.15536737277304,310.1486318333921,483.30399920616514
SmolLM_Trt,5,16,182.74617787342024,312.75579843245913,495.50197630587934
SmolLM_Trt,5,17,170.4314235027904,312.55573565465886,482.98715915744924
SmolLM_Trt,5,18,166.5499489584037,308.2390097138501,474.7889586722538
SmolLM_Trt,5,19,181.14907952753134,311.4687139435115,492.61779347104283
SmolLM_Trt,5,20,175.0230335009063,311.7285070528119,486.7515405537182
SmolLM_Trt,5,21,174.18837038937545,313.9771805750778,488.16555096445325
SmolLM_Trt,5,22,180.9172187467586,316.14485035541855,497.06206910217713
SmolLM_Trt,5,23,196.18852167024514,317.02064576893093,513.2091674391761
SmolLM_Trt,5,24,185.43255623044257,320.4385057035125,505.87106193395505
SmolLM_Trt,5,25,189.2981827750946,321.2453641445663,510.5435469196609
SmolLM_Trt,5,26,192.95194891434434,321.04997116395293,514.0019200782973
SmolLM_Trt,5,27,179.6415335227526,323.04470714206104,502.6862406648137
SmolLM_Trt,5,28,187.04112338183145,324.44652992635014,511.4876533081816
SmolLM_Trt,5,29,186.7560684464162,310.8427713742512,497.5988398206674
SmolLM_CtrlA,0,0,212.4949531943209,306.8499862514255,519.3449394457464
SmolLM_CtrlA,0,1,190.61069234215654,306.9662415274683,497.57693386962484
